Facility Name,Address,City,Zipcode,Latitude,Longitude,Facility Group,Facility Subgroup,Facility Type
P.S. 284 Lew Wallace,213 Osborn Street,Brooklyn,11212,40.666935,-73.907683,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Hillside Manor Rehabilitation & Extended Care ADHCP,188-11 Hillside Avenue,Hollis,11423,40.71548,-73.773226,Health Care,Other Health Care,Adult Day Health Care Program - Offsite
Sauti Yetu Center For African Women Inc,2417 3 Avenue,Bronx,10451,40.808815,-73.930752,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Church of St. Mark,1417 Union Street,Brooklyn,11213,40.668774,-73.944529,Human Services,Soup Kitchens and Food Pantries,Food Pantry
P.S. 02 The Aldred Zimberg School,75-10 21 Avenue,East Elmhurst,11370,40.769958,-73.894116,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Riverdale Mental Health Center,5676 Riverdale Avenue,Bronx,10471,40.906249,-73.903772,Health Care,Mental Health,Outpatient Mental Health
Morningside Nursing and Rehabilitation Center,1500 Pelham Parkway South,Bronx,10461,40.856708,-73.843028,Health Care,Other Health Care,Adult Day Health Care Program - Offsite
Mt. Zion,1811 Bath Avenue,Brooklyn,11214,40.6038,-74.005579,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Leadership Institute,1701 Fulton Avenue,Bronx,10457,40.841185,-73.898478,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
CSS PSychosocial,425 West   47 Street,New York,10036,40.762246,-73.991218,Health Care,Mental Health,Support Mental Health
PSychiatric Inpatient Unit,79-25 Winchester Boulevard,Bellerose,11426,40.741389,-73.731511,Health Care,Mental Health,Inpatient Mental Health
VNA of Staten Island,400 Lake Ave Box E,Staten Island,10303,40.626369,-74.152084,Health Care,Other Health Care,Certified Home Health Agency
Riverside Park,Riverside Park,New York,10025,40.783468,-73.986175,Transportation,Other Transportation,Transportation Facility
RAICES Casa Bien Estar,460 Atlantic Avenue,Brooklyn,11217,40.685972,-73.98308,Health Care,Mental Health,Outpatient Mental Health
St. John's House,1182 Washington Avenue,Bronx,10456,40.830321,-73.907165,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Beth Israel Medical Center Child Outpatient Department,10 Nathan D Perlman Place,New York,10003,40.733336,-73.982323,Health Care,Mental Health,Outpatient Mental Health
Jewish Community Council Of Greater Coney Island I,2298 West    8 Street,Brooklyn,11223,40.591852,-73.978739,Human Services,Senior Services,Neighborhood Senior Centers
Islamic Cultural Center Of The Bronx,371 East  166 Street,Bronx,10456,40.829646,-73.912458,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
W. Harlem Brownstones,152 West  123 Street,New York,10027,40.807157,-73.948523,Human Services,Permanent Supportive SRO Housing,Supportive Housing
NY Transit Police Dist 32,Franklin Avenue,Brooklyn,11225,40.667936,-73.959519,Transportation,Other Transportation,Transportation Facility
Arc Xvi Fort Washington Inc,4111 Broadway,New York,10033,40.845192,-73.939164,Human Services,Senior Services,Neighborhood Senior Centers
Stanley Isaacs Neighborhood Center,415 East   93 Street,New York,10128,40.781268,-73.945122,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
The Anderson School,100 West   77 Street,New York,10024,40.780878,-73.977819,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
PSychosocial Club,15 West  136 Street,New York,10037,40.814258,-73.938023,Health Care,Mental Health,Support Mental Health
Kadimah PROS,6023 Ft Hamilton Parkway,Brooklyn,11219,40.632568,-74.005825,Health Care,Mental Health,Outpatient Mental Health
Geriatric Outreach,227 Madison Street,New York,10002,40.713174,-73.987866,Health Care,Mental Health,Support Mental Health
Ministerio Llenando La Vasija,2769 Stillwell Avenue,Brooklyn,11224,40.580005,-73.981725,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Bronx Children's Inpatient Unit,1300 Waters Place,Bronx,10461,40.846512,-73.838296,Health Care,Mental Health,Inpatient Mental Health
Primary Care Center,880 Bergen Street,Brooklyn,11238,40.676853,-73.958306,Health Care,Mental Health,Screening Mental Health
Aichhorn RTF - Brooklyn,2050 Dean Street,Brooklyn,11233,40.674909,-73.919896,Health Care,Mental Health,Inpatient Mental Health
Regional Aid For Interim Needs Inc,3035 Middletown Road,Bronx,10461,40.844565,-73.828997,Human Services,Senior Services,Neighborhood Senior Centers
Catholic Charities Neighborhood Services Inc,5701 Avenue H,Brooklyn,11234,40.633672,-73.921644,Human Services,Senior Services,Neighborhood Senior Centers
JBFCS Ittleson Center For Child Research,5050 Iselin Avenue,Bronx,10471,40.899363,-73.904644,Health Care,Mental Health,Outpatient Mental Health
CCNS-Our Lady of Angels Human Services,336 73 Street,Brooklyn,11209,40.63236,-74.026182,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Bethesda Missionary Baptist Church,179-09 Jamaica Avenue,Jamaica,11432,40.708515,-73.781929,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Vincent P. Cyrus Plaza,73 East  128 Street,New York,10035,40.807434,-73.938224,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Youth Development Institute,121 Avenue Of The Americas,New York,10013,40.72412,-74.005143,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Bus Turn At Stillwell,West 12 Street,Brooklyn,11224,40.577204,-73.980737,Transportation,Other Transportation,Transportation Facility
New St. John Baptist Church,2409 Lorillard Place,Bronx,10458,40.856693,-73.889202,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Dewitt Reformed Church,280 Rivington Street,New York,10002,40.717568,-73.979452,Human Services,Soup Kitchens and Food Pantries,Food Pantry
"Manna of Life Ministries, Inc.",578 East  166 Street,Bronx,10456,40.827487,-73.9057,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Assisted Competitive Employment Program,1 Smith Street,Brooklyn,11201,40.691077,-73.987292,Health Care,Mental Health,Support Mental Health
Bethel Gospel Tabernacle Church,110-25 Guy R Brewer Boulevard,Jamaica,11433,40.692745,-73.788116,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Leviticus Church,114-12 Van Wyck Expressway Sr West,South Ozone Park,11420,40.682327,-73.806276,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Northern Manor ADHCP,1 Prospect Park West,Brooklyn,11215,40.672284,-73.970933,Health Care,Other Health Care,Adult Day Health Care Program - Offsite
Italian Senior Citizens Center,83-20 Queens Boulevard,Elmhurst,11373,40.736795,-73.879745,Human Services,Senior Services,Neighborhood Senior Centers
House of Completion Community Development,112-07 Guy R Brewer Boulevard,Jamaica,11433,40.690739,-73.786712,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Black Forum of Coop City Inc,177 Dreiser Loop,Bronx,10475,40.87665,-73.829088,Human Services,Soup Kitchens and Food Pantries,Food Pantry
East New York Elementary School Of Excellence,605 Shepherd Avenue,Brooklyn,11208,40.669542,-73.879194,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
The Renfrew Center of New York Clinic Treatment Program,38 East   32 Street,New York,10016,40.74592,-73.983155,Health Care,Mental Health,Outpatient Mental Health
Astor Child Guidance Center,750 Tilden Street,Bronx,10467,40.876693,-73.862761,Human Services,Soup Kitchens and Food Pantries,Food Pantry
School For Global Leaders,145 Stanton Street,New York,10002,40.720182,-73.98597,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
St. Joseph of the Holy Family,405 West  125 Street,New York,10027,40.811822,-73.954213,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Visiting Nurse Queens ACT Program,16-00 Central Avenue,Far Rockaway,11691,40.605233,-73.75231,Health Care,Mental Health,Outpatient Mental Health
Lenox Hill Neighborhood House Inc,619 Lexington Avenue,New York,10022,40.758372,-73.969937,Human Services,Senior Services,Neighborhood Senior Centers
Holding Hands Ministries,6324 7 Avenue,Brooklyn,11220,40.634954,-74.014125,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Most Holy Trinity,157 Graham Avenue,Brooklyn,11206,40.707047,-73.943421,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Creedmoor PC - HHCM,79-25 Winchester Boulevard,Bellerose,11426,40.741389,-73.731511,Health Care,Mental Health,Support Mental Health
W. 42nd St.,500 West   42 Street,New York,10036,40.759489,-73.995876,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Way Out Church Ministries Inc.,518 East  148 Street,Bronx,10455,40.813907,-73.914771,Human Services,Soup Kitchens and Food Pantries,Food Pantry
CAS School Based Clinic - I.S. 218,4600 Broadway,New York,10040,40.860897,-73.930016,Health Care,Mental Health,Outpatient Mental Health
New Horizon Counseling Center West Rockaway Clinic,88-02 Rockaway Beach Boulevard,Far Rockaway,11693,40.58756,-73.813219,Health Care,Mental Health,Outpatient Mental Health
H.O.Scott Education and Comm. Ctr.,15-10 Redfern Avenue,Far Rockaway,11691,40.608491,-73.752266,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Holy Ghost Upper Room Filing Station Ministry Inc.,146-17 133 Avenue,Jamaica,11436,40.668827,-73.791991,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Scan-LA Guardia Memorial,307 East  116 Street,New York,10029,40.797043,-73.936984,Human Services,Soup Kitchens and Food Pantries,Food Pantry
JBFCS Coney Island CSS Clinic Program,2928 West   36 Street,Brooklyn,11224,40.574393,-74.002001,Health Care,Mental Health,Outpatient Mental Health
Brooklyn Streets to Homes ACT Team,2010 Atlantic Avenue,Brooklyn,11233,40.6766,-73.921098,Health Care,Mental Health,Outpatient Mental Health
Mt. Horeb Baptist Church,109-20 34 Avenue,Corona,11368,40.756088,-73.858814,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Encore 49,220 West   49 Street,New York,10019,40.760904,-73.985336,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Family Recource Center - Bronx Zone 1,975 Kelly Street,Bronx,10459,40.822006,-73.896306,Health Care,Mental Health,Support Mental Health
R.P.M.S. Advocacy/Support Services,198 East  121 Street,New York,10035,40.801044,-73.938158,Health Care,Mental Health,Support Mental Health
Elmhurst Hospital Mental Health School-based Clinic,33-34 80 Street,Jackson Heights,11372,40.754262,-73.887424,Health Care,Mental Health,Outpatient Mental Health
P.S. 8 Briggs Avenue Academy - SBMH,3010 Briggs Avenue,Bronx,10458,40.872356,-73.883358,Health Care,Mental Health,Support Mental Health
Queens County Neuropsychiatric Institute Inc,37-64 72 Street,Jackson Heights,11372,40.746864,-73.89386,Health Care,Mental Health,Outpatient Mental Health
Kingsbrook Jewish Medical Center Mental Health Clinic,585 Schenectady Avenue,Brooklyn,11203,40.659394,-73.933754,Health Care,Mental Health,Outpatient Mental Health
Yaip @ Scan Family Renewal Center,1377 Jerome Avenue,Bronx,10452,40.839883,-73.91879,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Metropolitan Council on Jewish Poverty,5361 Preston Court,Brooklyn,11234,40.639473,-73.923512,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Morrisania Baptist Church,551 East  169 Street,Bronx,10456,40.832647,-73.904085,Human Services,Soup Kitchens and Food Pantries,Food Pantry
KCS Mental Health Clinic,42-16 162 Street,Flushing,11358,40.759772,-73.804369,Health Care,Mental Health,Outpatient Mental Health
Briah Home Care,3525 Baychester Avenue,Bronx,10466,40.881921,-73.839585,Health Care,Other Health Care,Certified Home Health Agency
Mobile Crisis,451 Clarkson Avenue,Brooklyn,11203,40.656638,-73.944933,Health Care,Mental Health,Support Mental Health
Isaiah's Temple of Mt. Hope,862 Glenmore Avenue,Brooklyn,11208,40.675607,-73.878158,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Bowery Residents Committee Inc,30 Delancey Street,New York,10002,40.720425,-73.992258,Human Services,Senior Services,Neighborhood Senior Centers
Bonding Links-Enlazos Familiares Mental Health Clinic,315 Wycoff Avenue,Brooklyn,11218,40.640567,-73.976728,Health Care,Mental Health,Outpatient Mental Health
PSychiatric Emergency Room,234 East  149 Street,Bronx,10451,40.817061,-73.924502,Health Care,Mental Health,Emergency Mental Health
J.H.S. 151 Lou Gehrig (X151),250 East  156 Street,Bronx,10451,40.82257,-73.921515,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
New York City Love Kitchen Inc.,3816 9 Avenue,New York,10034,40.862198,-73.91852,Human Services,Soup Kitchens and Food Pantries,Food Pantry
P.S./I.S. 178 Saint Clair Mckelway,2163 Dean Street,Brooklyn,11233,40.675228,-73.915363,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
East Fordham Academy For The Arts,120 East  184 Street,Bronx,10468,40.859479,-73.900501,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Montefiore Wakefield Child PSychiatry Clinic,4401 Bronx Boulevard,Bronx,10470,40.900311,-73.857755,Health Care,Mental Health,Outpatient Mental Health
PS 354,126-10 Bedell Street,Jamaica,11434,40.679742,-73.77449,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Northside Annex,3512 Dekalb Avenue,Bronx,10467,40.882508,-73.879832,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Lincoln Mmhc Subst Abuse Clinc,349 East  140 Street,Bronx,10454,40.811218,-73.923341,Health Care,Hospitals and Clinics,Ambulatory Health Facility
Richmond University Medical Center CPEP,355 Bard Avenue,Staten Is,10310,40.635687,-74.105867,Health Care,Mental Health,Emergency Mental Health
Kings County Hospital Child and Adolescent Clinic,410 Winthrop Street,Brooklyn,11203,40.656658,-73.94616,Health Care,Mental Health,Outpatient Mental Health
PS 076 A. Philip Randolph,220 West  121 Street,New York,10027,40.806529,-73.951371,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Worldwide Evangelical Outreach,3102 Clarendon Road,Brooklyn,11226,40.643042,-73.947586,Human Services,Soup Kitchens and Food Pantries,Food Pantry
CCNS Corona PROS,91-14 37 Avenue,Jackson Heights,11372,40.750502,-73.87536,Health Care,Mental Health,Outpatient Mental Health
Western Queens Consultation Center,44-04 Queens Boulevard,Sunnyside,11104,40.742944,-73.920386,Health Care,Mental Health,Outpatient Mental Health
Bloomingdale Libr/Health Centr,150 West 100 Street,New York,10025,40.795921,-73.967842,Health Care,Hospitals and Clinics,Ambulatory Health Facility
Minisink Townhouse,646 Lenox Avenue,New York,10037,40.818633,-73.937133,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Henry Ittleson Center RTF,5050 Iselin Avenue,Bronx,10471,40.899363,-73.904644,Health Care,Mental Health,Inpatient Mental Health
Find Aid For The Aged,331 West   42 Street,New York,10036,40.75817,-73.991162,Human Services,Senior Services,Neighborhood Senior Centers
